tempo,x,referencia,ang_control,angulo
1541262396.238611,155.8,160,0,82.03038960567866
1541262396.2663105,151.6,160,0,74.35775354279126
1541262396.3013387,147.6,160,0,67.54306100005788
1541262396.3337116,143.6,160,0,62.11971556194723
1541262396.3654737,139.8,160,0,57.73783070387411
1541262396.3943527,140.2,160,0,57.43323518809563
1541262396.4232752,141,160,0,57.652556500557964
1541262396.453329,142.4,160,0,61.189206257026946
1541262396.4839604,145,160,0,66.80140948635182
1541262396.508949,149.2,160,0,77.05881413401214
1541262396.538878,155.4,160,0,87.36625076646261
1541262396.5746543,161.2,160,0,90.6875163546391
1541262396.6057575,171,160,0,94.19418278839086
1541262396.6361496,182,160,0,98.45502767717744
1541262396.6669831,193.8,160,0,102.94906261386828
1541262396.6969075,205.8,160,0,107.64355473311456
1541262396.728786,219.4,160,0,112.84455312766492
1541262396.758584,228.2,160,0,115.81249426872499
1541262396.7926798,235.8,160,0,119.313403852497
1541262396.8272371,240.8,160,0,121.86254084041886
1541262396.8597586,243.2,160,0,123.64773596403825
1541262396.8901153,243,160,0,124.67031791098054
1541262396.9223032,241.2,160,0,125.94211187138234
1541262396.9526615,236,160,0,126.42228347498346
1541262396.9774246,228.2,160,0,126.5497010238924
1541262397.0033193,220.8,160,0,123.45950225339067
1541262397.0294511,211.2,160,0,124.32005070853853
1541262397.058473,199.6,160,0,121.35105874136826
1541262397.0873864,186.2,160,0,112.90797843943047
1541262397.1155114,170.8,160,0,100.37319809695907
1541262397.1417332,150.4,160,0,80.27242144859841
1541262397.167926,127.2,160,0,57.253419035311545
1541262397.1918664,100.8,160,0,36.621327493784435
1541262397.21928,78.4,160,0,28.3342424831246
1541262397.2474844,55.8,160,0,20.036068250318934
1541262397.274795,36.8,160,0,51.70031132496637
1541262397.3004797,22.2,160,0,48.90662828795553
1541262397.323422,30.0,160,0,0.0
1541262397.3461466,37.8,160,0,0.0
1541262397.3724282,50.4,160,0,0.0
1541262397.3991184,64.4,160,0,0.0
1541262397.4249282,65.2,160,0,57.18211293268838
1541262397.448471,52.6,160,0,51.28808574034639
1541262397.4754138,44.4,160,0,47.69040295034232
1541262397.4990628,36.2,160,0,45.7310069618354
1541262397.5254588,34,160,0,43.36342295838328
1541262397.551238,52,160,0,45.26403398125911
1541262397.576409,73.4,160,0,46.731819602528525
1541262397.6002982,96.8,160,0,47.9224726680249
1541262397.6251032,120.2,160,0,60.37867687769367
1541262397.6523294,146.8,160,0,78.34615941416567
1541262397.6797895,178.2,160,0,107.14366426538311
1541262397.706873,213.2,160,0,135.1079015287728
1541262397.7303116,198.0,160,0,180.0
1541262397.7569885,182.8,160,0,180.0
1541262397.7816937,158.4,160,0,0.0
1541262397.8090973,123.8,160,0,0.0
1541262397.8355155,80.0,160,0,0.0
1541262397.8615396,80.0,160,0,0.0
1541262397.885644,80.0,160,0,0.0
1541262397.9118779,80.0,160,0,0.0
1541262397.9355097,80.0,160,0,0.0
1541262397.962025,80.0,160,0,0.0
1541262397.9871287,80.0,160,0,0.0
1541262398.0158808,80.0,160,0,0.0
1541262398.046446,80.0,160,0,0.0
1541262398.0750222,80.0,160,0,0.0
1541262398.103634,80.0,160,0,0.0
1541262398.133006,80.0,160,0,0.0
1541262398.163133,80.0,160,0,0.0
1541262398.193158,66.6,160,0,59.09028587739812
1541262398.2250447,56.0,160,0,55.96787218266169
1541262398.255676,48.8,160,0,53.44922721763005
1541262398.2846234,45.2,160,0,51.63049045844061
1541262398.313404,45.2,160,0,50.648247373735266
1541262398.3435218,63.4,160,0,54.414174505482485
1541262398.3722506,82.2,160,0,58.50842993729793
1541262398.4009366,98,160,0,62.28149837181665
1541262398.4297094,110.8,160,0,65.10158397816474
1541262398.4584062,119.2,160,0,67.1874745311876
1541262398.4873002,123.2,160,0,68.62018540288183
1541262398.5160644,124,160,0,69.04422326936782
1541262398.546131,124.8,160,0,69.47067855623662
1541262398.575174,126.4,160,0,70.70995378081128
1541262398.6063352,130.8,160,0,74.02493254320397
1541262398.6368568,134.8,160,0,76.12247019679201
1541262398.6676188,147.4,160,0,84.37805877924231
1541262398.6979456,165.8,160,0,92.29061004263853
1541262398.72898,184.6,160,0,99.69444428519418
1541262398.7578177,202.8,160,0,106.12929755741891
1541262398.7891824,221,160,0,112.39960354577813
1541262398.8190768,234,160,0,116.72074584687576
1541262398.8525662,240.8,160,0,118.79582932116719
1541262398.883004,249.6,160,0,120.8512796849744
1541262398.9119227,259,160,0,123.07683336415539
1541262398.9435947,268.4,160,0,125.49486650765289
1541262398.9741526,274.4,160,0,126.25383773744478
1541262399.0076504,283.6,160,0,128.03530720471912
1541262399.0399866,277.6,160,0,126.487467903655
1541262399.0695753,264.4,160,0,123.45511251224349
1541262399.1024845,251.2,160,0,119.99419505444376
1541262399.1337464,210.6,160,0,180.0
1541262399.1627088,166.8,160,0,180.0
1541262399.1935906,134.4,160,0,0.0
1541262399.2221591,107.2,160,0,0.0
1541262399.25142,80.0,160,0,0.0
1541262399.2810025,80.0,160,0,0.0
1541262399.3112953,125.4,160,0,77.64793568527654
1541262399.3399806,167.0,160,0,92.58579434242449
1541262399.3688097,204.0,160,0,106.14433878028348
1541262399.3991892,236.0,160,0,117.02463313460795
1541262399.4278927,264,160,0,125.8376529542783
1541262399.45749,244.4,160,0,121.26588292136121
1541262399.486259,227.2,160,0,117.33548588179234
1541262399.5156507,213.6,160,0,113.89215507771344
1541262399.5476344,203.2,160,0,111.44128990729533
1541262399.5778067,195,160,0,110.22485943116808
1541262399.6071656,184,160,0,105.76718254247568
1541262399.637167,167,160,0,95.00064459755842
1541262399.6674955,148,160,0,82.14668669802178
1541262399.6972113,130.4,160,0,71.00725175353212
1541262399.7294827,114.6,160,0,62.17011411649771
1541262399.760992,102.2,160,0,51.24327746162299
1541262399.7927423,97.8,160,0,42.50210343753076
1541262399.824071,97,160,0,29.74488129694222
1541262399.8534079,96,160,0,25.114834886144564
1541262399.885253,95,160,0,24.77514056883192
1541262399.916268,90.4,160,0,25.367404462469594
1541262399.94529,84.8,160,0,26.80834389534284
1541262399.9774046,78.6,160,0,25.02459970260138
1541262400.007158,73.6,160,0,24.293887602585066
1541262400.0372152,69.8,160,0,23.382328353651157
1541262400.067701,73,160,0,21.914866327191728
1541262400.1004739,79,160,0,20.32313682966294
1541262400.1334379,99.8,160,0,11.27332175726924
1541262400.162215,88.2,160,0,65.28544547769923
1541262400.1932957,75.4,160,0,61.528682536382654
1541262400.2272956,66.4,160,0,59.19751845815491
1541262400.2590737,63.4,160,0,57.562967525953376
1541262400.290524,48.2,160,0,53.483850809159826
1541262400.3234515,73.2,160,0,59.094388139982875
1541262400.354334,106.8,160,0,69.97909112190953
1541262400.3841112,139.8,160,0,81.84714316748786
1541262400.4150896,167.6,160,0,93.1751975374428
